test_txndate,test_storecode,Customers,Bills,ItemQty,Sales
2018-04-01 00:00:00,11,20,20,92.0,54540.0
2018-04-01 00:00:00,5,4,4,13.0,11250.0
2018-04-01 00:00:00,6,89,100,482.0,176466.0
2018-04-02 00:00:00,11,15,15,96.0,30923.0
2018-04-02 00:00:00,5,11,13,38.0,38023.0
2018-04-02 00:00:00,6,33,37,215.0,46393.0
2018-04-03 00:00:00,11,22,22,69.0,71319.0
2018-04-03 00:00:00,5,2,2,7.0,5365.0
2018-04-03 00:00:00,6,73,78,250.0,104606.0
2018-04-03 00:00:00,Warehouse,2,2,229.0,90905.0
2018-04-04 00:00:00,11,15,15,77.0,29919.0
2018-04-04 00:00:00,5,7,8,29.0,21871.0
2018-04-04 00:00:00,6,70,78,377.0,137690.0
2018-04-04 00:00:00,Warehouse,3,3,1929.0,560640.0
2018-04-05 00:00:00,11,20,21,65.0,55883.0
2018-04-05 00:00:00,5,18,18,72.0,33319.0
2018-04-05 00:00:00,6,50,55,407.0,118727.0
2018-04-06 00:00:00,11,21,21,53.0,50016.0
2018-04-06 00:00:00,5,18,18,61.0,35554.0
2018-04-06 00:00:00,6,67,73,444.0,188022.0
2018-04-06 00:00:00,Warehouse,1,1,17.0,11770.0
2018-04-07 00:00:00,11,19,19,64.0,42165.0
2018-04-07 00:00:00,5,17,18,105.0,38460.0
2018-04-07 00:00:00,6,48,53,265.0,89860.0
2018-04-07 00:00:00,Warehouse,3,3,151.0,47750.0
2018-04-08 00:00:00,11,28,28,101.0,86934.0
2018-04-08 00:00:00,5,12,13,48.0,20448.0
2018-04-08 00:00:00,6,53,63,252.0,116248.0
2018-04-09 00:00:00,11,15,15,69.0,23810.0
2018-04-09 00:00:00,5,15,15,62.0,47210.0
2018-04-09 00:00:00,6,56,60,355.0,129785.0
2018-04-09 00:00:00,Warehouse,1,1,2.0,1320.0
2018-04-10 00:00:00,11,18,18,134.0,50824.0
2018-04-10 00:00:00,5,12,12,40.0,29041.0
2018-04-10 00:00:00,6,56,65,675.0,137363.0
2018-04-10 00:00:00,Warehouse,1,1,1.0,710.0
2018-04-11 00:00:00,11,17,17,85.0,41933.0
2018-04-11 00:00:00,6,59,66,512.0,140049.0
2018-04-12 00:00:00,11,19,19,183.0,63308.0
2018-04-12 00:00:00,6,55,62,352.0,123446.0
2018-04-13 00:00:00,11,16,16,50.0,34933.0
2018-04-13 00:00:00,5,4,4,17.0,5685.0
2018-04-13 00:00:00,6,63,71,368.0,163326.0
2018-04-13 00:00:00,Warehouse,1,1,5.0,4000.0
2018-04-14 00:00:00,11,20,21,67.0,59857.0
2018-04-14 00:00:00,5,16,16,63.0,33577.0
2018-04-14 00:00:00,6,69,74,618.0,218854.0
2018-04-14 00:00:00,Warehouse,2,2,42.0,10920.0
2018-04-15 00:00:00,11,21,21,114.0,58276.0
2018-04-15 00:00:00,5,14,16,36.0,29740.0
2018-04-15 00:00:00,6,50,59,400.0,165685.0
2018-04-15 00:00:00,Warehouse,1,1,53.0,2650.0
2018-04-16 00:00:00,11,22,22,166.0,86248.0
2018-04-16 00:00:00,5,12,12,61.0,24057.0
2018-04-16 00:00:00,6,52,58,362.0,216582.0
2018-04-17 00:00:00,11,14,14,65.0,33253.0
2018-04-17 00:00:00,5,13,14,47.0,33226.0
2018-04-17 00:00:00,6,72,81,603.0,257637.0
2018-04-17 00:00:00,Warehouse,1,1,10.0,8000.0
2018-04-18 00:00:00,11,17,17,106.0,38913.0
2018-04-18 00:00:00,5,13,13,42.0,26107.0
2018-04-18 00:00:00,6,60,65,251.0,98195.0
2018-04-19 00:00:00,11,9,9,35.0,30957.0
2018-04-19 00:00:00,5,13,16,62.0,35343.0
2018-04-19 00:00:00,6,49,53,268.0,107616.0
2018-04-19 00:00:00,Warehouse,1,1,1.0,7280.0
2018-04-20 00:00:00,11,15,15,108.0,49647.0
2018-04-20 00:00:00,5,9,9,58.0,32921.0
2018-04-20 00:00:00,6,44,51,176.0,89059.0
2018-04-21 00:00:00,11,31,32,174.0,112749.0
2018-04-21 00:00:00,5,16,16,48.0,31971.0
2018-04-21 00:00:00,6,69,78,438.0,122948.0
2018-04-22 00:00:00,11,20,21,60.0,46747.0
2018-04-22 00:00:00,5,11,12,21.0,18352.0
2018-04-22 00:00:00,6,69,79,385.0,129762.0
2018-04-23 00:00:00,11,15,15,95.0,33907.0
2018-04-23 00:00:00,5,11,11,28.0,16862.0
2018-04-23 00:00:00,6,57,64,207.0,89202.0
2018-04-23 00:00:00,Warehouse,2,2,311.0,275500.0
2018-04-24 00:00:00,11,19,20,49.0,32147.0
2018-04-24 00:00:00,5,4,4,12.0,5489.0
2018-04-24 00:00:00,6,67,78,398.0,115943.0
2018-04-24 00:00:00,Warehouse,1,1,394.0,143733.0
2018-04-25 00:00:00,11,19,20,77.0,61359.0
2018-04-25 00:00:00,5,10,10,31.0,22742.0
2018-04-25 00:00:00,6,57,61,277.0,84002.0
2018-04-25 00:00:00,Warehouse,1,1,12.0,93600.0
2018-04-26 00:00:00,11,22,22,86.0,72397.0
2018-04-26 00:00:00,5,10,10,28.0,23184.0
2018-04-26 00:00:00,6,44,47,210.0,84381.0
2018-04-26 00:00:00,Warehouse,2,2,138.0,31920.0
2018-04-27 00:00:00,11,21,21,88.0,74057.0
2018-04-27 00:00:00,5,17,17,136.0,42751.0
2018-04-27 00:00:00,6,54,61,242.0,116573.0
2018-04-27 00:00:00,Warehouse,1,1,5.0,7000.0
2018-04-28 00:00:00,11,18,18,93.0,63227.0
2018-04-28 00:00:00,5,16,16,72.0,39896.0
2018-04-28 00:00:00,6,57,67,356.0,149737.0
2018-04-28 00:00:00,Warehouse,1,1,10.0,6600.0
2018-04-29 00:00:00,11,19,19,76.0,47014.0
2018-04-29 00:00:00,5,11,12,44.0,23643.0
2018-04-29 00:00:00,6,60,70,239.0,127509.0
2018-04-30 00:00:00,11,18,18,65.0,56002.0
2018-04-30 00:00:00,5,7,7,24.0,7903.0
2018-04-30 00:00:00,6,55,60,282.0,110506.0
2018-04-30 00:00:00,Warehouse,2,2,55.0,21680.0
2018-05-01 00:00:00,5,3,3,15.0,4988.0
2018-05-01 00:00:00,6,41,45,155.0,68652.0
2018-05-02 00:00:00,11,1,1,3.0,2589.0
2018-05-02 00:00:00,5,7,7,10.0,7684.0
2018-05-02 00:00:00,6,54,58,408.0,123932.0
2018-05-02 00:00:00,Warehouse,1,1,84.0,27752.0
2018-05-03 00:00:00,11,15,15,116.0,42831.0
2018-05-03 00:00:00,5,17,18,89.0,53268.0
2018-05-03 00:00:00,6,59,65,446.0,157804.0
